,run,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
0,3,Human,PO-14-05-18,0.0,0.0,0.8168,0.1832,0.0,0.0,0.0060091596750294,0.0060091596750294
0,4,Human,PO-14-05-18,0.0,0.0,0.7925500000000001,0.20745,0.0,0.0,0.0057203583803814,0.0057203583803814
0,5,Human,PO-14-05-18,0.0,0.0,0.7871499999999999,0.2128499999999999,0.0,0.0,0.0032561480310329,0.0032561480310329
0,1,Human,PO-18-03-19,0.0,0.0,0.6275499999999999,0.37245,0.0,0.0,0.0085160143259625,0.0085160143259625
0,2,Human,PO-18-03-19,0.0,0.0,0.65835,0.34165,0.0,0.0,0.0049751884386423,0.0049751884386422
0,3,Human,PO-18-03-19,0.0,0.0,0.63115,0.36885,0.0,0.0,0.0056216100896451,0.0056216100896451
0,4,Human,PO-18-03-19,0.0,0.0,0.6021000000000001,0.3979,0.0,0.0,0.0150495847118782,0.0150495847118782
0,5,Human,PO-18-03-19,5e-05,0.0,0.66245,0.3375,0.00015,0.0,0.0073601970082328,0.0074027022093286
0,1,Human,PO-18-09-17,0.0,0.0,0.57065,0.42935,0.0,0.0,0.0087064631165588,0.0087064631165588
0,2,Human,PO-18-09-17,0.0,0.0,0.59555,0.40445,0.0,0.0,0.0101991421207864,0.0101991421207864
0,3,Human,PO-18-09-17,0.0,0.0,0.5622499999999999,0.43775,0.0,0.0,0.009726895702124,0.009726895702124
0,4,Human,PO-18-09-17,5e-05,0.0,0.5615500000000001,0.4384,0.00015,0.0,0.0071430035699276,0.0071161787498628
0,5,Human,PO-18-09-17,0.0,0.0,0.55715,0.4428499999999999,0.0,0.0,0.0034208916966194,0.0034208916966194
